time_period,rainfall,mean_temperature,population,location
2022-08-15/2022-08-21,0.0084540200797002,296.5608682966223,100525,boaco
2022-08-22/2022-08-28,0.0193782576199636,296.29766063762577,100546,boaco
2022-08-29/2022-09-04,0.0043260539490361,296.99537000851177,100915,boaco
2022-09-05/2022-09-11,0.0106290457974124,296.4103732202568,100862,boaco
2022-09-12/2022-09-18,0.0056265749108428,296.59636527859107,100881,boaco
2022-09-19/2022-09-25,0.0125358013370756,296.64395081542,100150,boaco
2022-09-26/2022-10-02,0.0046454982199801,296.37379891023386,100394,boaco
2022-10-03/2022-10-09,0.0255307008810563,296.20037451781684,100577,boaco
2022-10-10/2022-10-16,0.0029317195026526,296.8005970911263,100526,boaco
2022-10-17/2022-10-23,0.0019739367776724,296.66207059345095,100587,boaco
2022-10-24/2022-10-30,0.0024604747098469,296.630148388981,100662,boaco
2022-10-31/2022-11-06,0.0162045923355984,296.35614672075116,100682,boaco
2022-08-15/2022-08-21,0.0117106449299786,299.31762527317454,100474,chinandega
2022-08-22/2022-08-28,0.0223099996170774,298.6425407012611,100586,chinandega
2022-08-29/2022-09-04,0.0075187541222591,299.71255065431455,100332,chinandega
2022-09-05/2022-09-11,0.0190770534248003,298.8966392940298,100162,chinandega
2022-09-12/2022-09-18,0.0141949716086985,298.40259419174987,100773,chinandega
2022-09-19/2022-09-25,0.0344301440924022,298.22809480062404,100948,chinandega
2022-09-26/2022-10-02,0.0055209211647511,299.48510287125674,100920,chinandega
2022-10-03/2022-10-09,0.0333545019019476,298.47563482462033,100354,chinandega
2022-10-10/2022-10-16,0.0067106887197962,299.33208702612757,100788,chinandega
2022-10-17/2022-10-23,0.0014414257405678,299.839557375837,100672,chinandega
2022-10-24/2022-10-30,0.0054240340459392,299.38208125020003,100408,chinandega
2022-10-31/2022-11-06,0.0095066803892156,298.36444889917345,100005,chinandega
2022-08-15/2022-08-21,0.0117648409320574,295.3388611129113,100136,esteli
2022-08-22/2022-08-28,0.0177912772171442,294.7425460034388,100539,esteli
2022-08-29/2022-09-04,0.0060491744037386,295.36192054913477,100066,esteli
2022-09-05/2022-09-11,0.0103524985254066,294.8401859656435,100734,esteli
2022-09-12/2022-09-18,0.0086138229757421,294.46415182750826,100705,esteli
2022-09-19/2022-09-25,0.0138393509662154,294.4709897899635,100180,esteli
2022-09-26/2022-10-02,0.0057783962044779,294.8372897639557,100855,esteli
2022-10-03/2022-10-09,0.0182865821823618,294.3917282598066,100168,esteli
2022-10-10/2022-10-16,0.004523420181923,295.1582340561073,100044,esteli
2022-10-17/2022-10-23,0.0006909318505374,295.1234513950784,100206,esteli
2022-10-24/2022-10-30,0.0036729567832567,294.929500809018,100516,esteli
2022-10-31/2022-11-06,0.0078530256007896,294.440037466362,100974,esteli
