time_period,rainfall,mean_temperature,disease_cases,population,location
2019-10-14/2019-10-20,0.007390292790753,296.1894381903356,163.0,100860,boaco
2019-10-21/2019-10-27,0.0044073913873814,296.47400970507243,150.0,100045,boaco
2019-10-28/2019-11-03,0.0023499399614098,296.31159215995893,180.0,100891,boaco
2019-11-04/2019-11-10,0.0014014191809604,296.7872292238928,134.0,100716,boaco
2019-11-11/2019-11-17,0.0004159439310071,296.0446673756583,101.0,100638,boaco
2019-11-18/2019-11-24,0.0017569095443409,296.58202485678294,86.0,100976,boaco
2019-11-25/2019-12-01,0.0001664593061545,296.28534635048794,110.0,100266,boaco
2019-12-02/2019-12-08,0.0018464057908206,296.0291440198876,148.0,100748,boaco
2019-12-09/2019-12-15,0.0009830400163072,296.3982542948006,94.0,100287,boaco
2019-12-16/2019-12-22,0.000219713996509,296.1400353061532,41.0,100180,boaco
2019-12-23/2019-12-29,0.0008188526050834,296.5394863832005,51.0,100901,boaco
2019-12-30/2020-01-05,0.0017577105161786,295.96636570080557,81.0,100832,boaco
2020-01-06/2020-01-12,0.0037445003953291,295.2178785932132,53.0,100071,boaco
2020-01-13/2020-01-19,0.0003168373565483,295.59930869534185,56.0,100441,boaco
2020-01-20/2020-01-26,4.925923350477769e-05,295.81251499217046,49.0,100794,boaco
2020-01-27/2020-02-02,0.0005648302137786,296.6674506917122,44.0,100477,boaco
2020-02-03/2020-02-09,0.0024399095727776,296.13603405446764,45.0,100660,boaco
2020-02-10/2020-02-16,0.0005959604427404,296.9529854900948,44.0,100060,boaco
2020-02-17/2020-02-23,0.0001948964810847,297.17780798506493,36.0,100940,boaco
2020-02-24/2020-03-01,0.000479432144742,296.63406048569027,40.0,100275,boaco
2020-03-02/2020-03-08,0.001801441408014,296.3825648374355,36.0,100742,boaco
2020-03-09/2020-03-15,0.000909839107255,296.7602819261384,26.0,100624,boaco
2020-03-16/2020-03-22,0.0012578202853165,296.72394080144966,21.0,100442,boaco
2020-03-23/2020-03-29,0.0003525756705844,297.7150682881239,11.0,100031,boaco
2020-03-30/2020-04-05,0.0004538318081137,298.92266416459205,11.0,100848,boaco
2020-04-06/2020-04-12,0.0004109551025579,299.07848066643226,19.0,100807,boaco
2020-04-13/2020-04-19,0.0001684582203294,300.0887915836265,23.0,100492,boaco
2020-04-20/2020-04-26,0.0004202998427502,299.21240774247565,23.0,100862,boaco
2020-04-27/2020-05-03,0.0006244782209408,299.60142379356995,21.0,100029,boaco
2020-05-04/2020-05-10,0.0034934010127761,298.76840959790644,13.0,100390,boaco
2020-05-11/2020-05-17,0.0284199685284669,298.4221937363344,13.0,100022,boaco
2020-05-18/2020-05-24,0.0125822540107784,297.402847050766,9.0,100909,boaco
2020-05-25/2020-05-31,0.0249135331306209,296.1949720143418,12.0,100487,boaco
2020-06-01/2020-06-07,0.0042833224927498,297.54993323568004,18.0,100752,boaco
2020-06-08/2020-06-14,0.0065253981740538,296.6372426318741,17.0,100046,boaco
2020-06-15/2020-06-21,0.005172325735633,296.6462499522822,2.0,100934,boaco
2020-06-22/2020-06-28,0.006128718951437,295.9679668504127,8.0,100989,boaco
2020-06-29/2020-07-05,0.0055416534726251,296.4004900339358,10.0,100674,boaco
2020-07-06/2020-07-12,0.0035826598904902,296.564239196327,10.0,100076,boaco
2020-07-13/2020-07-19,0.0026638827496515,297.1560163652749,13.0,100587,boaco
2020-07-20/2020-07-26,0.0033002376056708,296.8396256718484,36.0,100545,boaco
2020-07-27/2020-08-02,0.0052028445171605,297.14993335354717,30.0,100681,boaco
2020-08-03/2020-08-09,0.0038014552898492,296.4573701723401,32.0,100372,boaco
2020-08-10/2020-08-16,0.0037987371621624,296.7907500810923,34.0,100274,boaco
2020-08-17/2020-08-23,0.0066192671518266,296.75126352537393,42.0,100222,boaco
2020-08-24/2020-08-30,0.0038977556830039,297.12429990312,50.0,100230,boaco
2020-08-31/2020-09-06,0.006553740642667,297.02527139982595,36.0,100613,boaco
2020-09-07/2020-09-13,0.0062207015372124,297.02955742875616,43.0,100529,boaco
2020-09-14/2020-09-20,0.0046381530547434,297.29284036508875,38.0,100875,boaco
2020-09-21/2020-09-27,0.0060683387321099,296.5257998174337,39.0,100163,boaco
2020-09-28/2020-10-04,0.0143909268928163,296.3545114767343,30.0,100326,boaco
2020-10-05/2020-10-11,0.0040567078700575,296.6230128893691,41.0,100613,boaco
2020-10-12/2020-10-18,0.0122680556992566,296.14429606864553,52.0,100605,boaco
2020-10-19/2020-10-25,0.0094310646457914,296.4322819626334,55.0,100822,boaco
2020-10-26/2020-11-01,0.0303114662307706,295.13554172065477,38.0,100876,boaco
2020-11-02/2020-11-08,0.001530707631002,296.80722968728645,49.0,100354,boaco
2020-11-09/2020-11-15,0.0263193293812292,295.76112340005824,44.0,100096,boaco
2020-11-16/2020-11-22,0.0040309900426072,295.71599785697987,44.0,100780,boaco
2020-11-23/2020-11-29,0.0029529635735786,295.6009028185629,33.0,100259,boaco
2020-11-30/2020-12-06,0.000405444638346,295.26975991468055,37.0,100396,boaco
2020-12-07/2020-12-13,0.0014968178173524,295.6384625928502,27.0,100173,boaco
2020-12-14/2020-12-20,0.001425397286077,295.7227907904638,20.0,100210,boaco
2020-12-21/2020-12-27,0.0008442264950049,295.1413643933689,,100066,boaco
2020-12-28/2021-01-03,0.0012221603232778,295.2300012849087,34.0,100864,boaco
2021-01-04/2021-01-10,0.0014033824442738,295.44198163712355,29.0,100549,boaco
2021-01-11/2021-01-17,0.0024440216825212,295.34842127635716,32.0,100458,boaco
2021-01-18/2021-01-24,0.0021329324205471,295.56558252893973,30.0,100896,boaco
2021-01-25/2021-01-31,0.000228626845405,295.4220269492928,36.0,100416,boaco
2021-02-01/2021-02-07,0.0008387478855537,296.01385548736584,47.0,100675,boaco
2021-02-08/2021-02-14,0.0004591076900753,297.11840762826625,38.0,100106,boaco
2021-02-15/2021-02-21,0.0022198694874735,295.7523139959244,46.0,100316,boaco
2021-02-22/2021-02-28,0.0013578361683217,295.7769433018932,47.0,100726,boaco
2021-03-01/2021-03-07,0.0022842690407302,296.0792588244605,39.0,100192,boaco
2021-03-08/2021-03-14,0.0016102481207031,295.8847516520527,34.0,100853,boaco
2021-03-15/2021-03-21,0.0004523805382608,296.74838626221367,32.0,100166,boaco
2021-03-22/2021-03-28,0.0017034175867881,296.797510875973,16.0,100236,boaco
2021-03-29/2021-04-04,0.0020227791874695,296.936563315483,26.0,100737,boaco
2021-04-05/2021-04-11,0.0012779418575032,298.28146111067906,31.0,100720,boaco
2021-04-12/2021-04-18,0.0030442303735712,297.68262779534234,23.0,100295,boaco
2021-04-19/2021-04-25,0.0002386086357044,298.2472255197276,23.0,100966,boaco
2021-04-26/2021-05-02,0.0024990288242284,298.1265635439145,35.0,100577,boaco
2021-05-03/2021-05-09,0.0036476484703858,297.34841733418165,35.0,100967,boaco
2021-05-10/2021-05-16,0.0010087325425401,298.39150158534096,22.0,100682,boaco
2021-05-17/2021-05-23,0.0027284372227304,297.44422144872743,32.0,100192,boaco
2021-05-24/2021-05-30,0.0008619397247377,298.297302727455,30.0,100698,boaco
2021-05-31/2021-06-06,0.0050914273707291,296.84501723491167,22.0,100011,boaco
2021-06-07/2021-06-13,0.0100109526387667,296.8490098011839,26.0,100765,boaco
2021-06-14/2021-06-20,0.0027466847389623,297.2194297984761,20.0,100730,boaco
2021-06-21/2021-06-27,0.0061290845472504,296.65555618152626,22.0,100616,boaco
2021-06-28/2021-07-04,0.00433507438854,296.9967244397783,14.0,100058,boaco
2021-07-05/2021-07-11,0.0038436277218033,296.2157496676122,29.0,100597,boaco
2021-07-12/2021-07-18,0.0023310042231932,297.0899631410567,27.0,100257,boaco
2021-07-19/2021-07-25,0.0030458609953351,296.9910757970439,26.0,100010,boaco
2021-07-26/2021-08-01,0.0037337055319641,296.9134481754983,28.0,100766,boaco
2021-08-02/2021-08-08,0.0026888984177855,296.9276959913682,16.0,100550,boaco
2021-08-09/2021-08-15,0.0069703422282891,297.11583036796327,24.0,100172,boaco
2021-08-16/2021-08-22,0.0051859464312658,296.7519144558489,31.0,100571,boaco
2021-08-23/2021-08-29,0.0057933277710632,296.54482245339693,24.0,100470,boaco
2021-08-30/2021-09-05,0.0055050992451419,296.70148421007445,24.0,100063,boaco
2021-09-06/2021-09-12,0.0037382328280513,296.7664031624518,14.0,100020,boaco
